Waterbody;Matrix;Substance;Threshold;Status;Units
EEEE_5;Water;CAS_71-43-2 - Benzene;50;0.1;µg/l
EEEE_5;Biota ;CAS_7439-92-1 - Lead and its compounds;1000;66.5;ug/kg ww
EEEE_5;Water;CAS_7439-92-1 - Lead and its compounds;7.2;0.25;µg/l
EEEE_5;Biota ;CAS_7439-97-6 - Mercury and its compounds;20;12.05;µg/kg ww
EEEE_5;Water;CAS_7439-97-6 - Mercury and its compounds;0.07;0.05;µg/l
EEEE_5;Biota ;CAS_7440-02-0 - Nickel and its compounds;730;680;ug/kg ww
EEEE_5;Water;CAS_7440-02-0 - Nickel and its compounds;20;0.64;µg/l
EEEE_5;Biota ;CAS_7440-43-9 - Cadmium and its compounds;160;227.5;ug/kg ww
EEEE_5;Water;CAS_7440-43-9 - Cadmium and its compounds;0.2;0.05;µg/l
EEEE_5;Water;CAS_75-09-2 - Dichloromethane;20;0.5;µg/l
EEEE_5;Biota ;CAS_87-68-3 - Hexachlorobutadiene;55;0.036;µg/kg ww
EEEE_5;Water;CAS_91-20-3 - Naphthalene;1.2;0.005;µg/l
EEEE_5;Biota ;CAS_118-74-1 - Hexachlorobenzene;10;0.01;µg/kg ww
EEEE_5;Biota ;CAS_50-29-3 - DDT, p,p';;0.024;
EEEE_5;Biota ;CAS_608-93-5 - Pentachlorobenzene;400;0.004;ug/kg dw
EEEE_5;Biota ;CAS_7439-97-6 - Mercury and its compounds;20;6;µg/kg ww
EEEE_5;Biota ;CAS_7440-02-0 - Nickel and its compounds;;116;
EEEE_5;Biota ;CAS_7440-43-9 - Cadmium and its compounds;;105;
EEEE_5;Biota ;CAS_87-68-3 - Hexachlorobutadiene;55;0.004;µg/kg ww
EETeW_GoF;Biota ;CAS_118-74-1 - Hexachlorobenzene;10;0.6;µg/kg ww
EETeW_GoF;Biota ;CAS_7439-97-6 - Mercury and its compounds;20;13.44;µg/kg ww
EETeW_GoF;Biota ;CAS_7440-02-0 - Nickel and its compounds;730;263.28;ug/kg ww
EETeW_GoF;Biota ;CAS_7440-43-9 - Cadmium and its compounds;160;165.55;ug/kg ww
EETeW_GoF;Biota ;CAS_87-68-3 - Hexachlorobutadiene;55;0.198;µg/kg ww
EETeW_GoF;Biota ;CAS_50-29-3 - DDT, p,p';;0.19;
EETeW_GoF;Biota ;CAS_608-93-5 - Pentachlorobenzene;367;0.092;ug/kg ww
EETeW_GoF;Biota ;CAS_7439-92-1 - Lead and its compounds;1000;146.22;ug/kg ww
